book_name,author_name,announcer_name,book_type,publishing,publishing_year,genre,stars,language,release_date,days_from_release,recording_minutes,recording_hours
הארנב ממושי,שלומית כהן-אסיף, מיכל שגיא ושלומית כהן אסיף,0,0,2021.0,0,5.0,0,2021-03-29,791,7.0,0.0
מסיבה בגן העכברים,שלומית כהן-אסיף, מיכל שגיא ושלומית כהן אסיף,0,0,2021.0,0,0.0,0,2021-03-29,791,9.0,0.0
חבורת כוח המוח (4) ופרשת הכלבה החטופה,זוהר אביב, זוהר אביב,0,0,2021.0,0,4.33,0,2021-03-29,791,6.0,2.0
ניקה שתיקה,דורית אורגד, דורית אורגד,0,0,2021.0,0,4.0,0,2021-03-29,791,8.0,0.0
חבורת כוח המוח (12) בעקבות התלמיד שנעלם,זוהר אביב, זוהר אביב,0,0,2021.0,0,4.56,0,2021-05-09,750,11.0,2.0
הסיפור של אליעזר בן יהודה,תמי שם טוב, שירלי סומק,0,0,2021.0,0,5.0,0,2021-03-29,791,28.0,0.0
הסיפור המושלם 4 - הנבואה המונגולית,אלדד אילני, אלדד אילני,0,0,2021.0,0,4.5,0,2021-03-29,791,34.0,1.0
Как Йойо встретил лисёнка,Фиона Ремпт, Николь Плиева,0,3,2021.0,0,4.77,2,2021-04-02,787,11.0,0.0
חנות המילים של נעם,רוביק רוזנטל, רוביק רוזנטל,0,0,2021.0,0,3.0,0,2021-03-29,791,13.0,0.0
מלחמת האותיות,רוביק רוזנטל, רוביק רוזנטל,0,0,2021.0,0,0.0,0,2021-03-29,791,15.0,1.0
מסע מצמרר (7) - נולד ל... ל... לשיר,זוהר אביב, מאיה לוי,0,0,2021.0,0,4.6,0,2021-03-29,791,54.0,2.0
כראמל (5) היהלום האבוד,מאירה ברנע גולדברג, תומר שרון,0,0,2021.0,0,4.83,0,2021-03-29,791,40.0,5.0
והילד הזה הוא אני: אוסף ראשון,יהודה אטלס, מיכל אטלס,0,0,2021.0,0,4.75,0,2021-04-11,778,42.0,0.0
ממלכת שטות וממלכת רצינות,תמר בראון אלקלס, מאיה לוי,0,0,2021.0,0,4.29,0,2021-04-11,778,23.0,0.0
איך האדם הקדמון המציא לגמרי במקרה את הקבאב הרומני,מאיר שלו, מאיר שלו,0,0,2021.0,0,4.58,0,2021-04-27,762,7.0,0.0
גומות החן של זוהר,מאיר שלו, מאיר שלו,0,0,2021.0,0,4.44,0,2021-04-27,762,10.0,0.0
הקטר שרצה לנסוע לרומא,מאיר שלו, מאיר שלו,0,0,2021.0,0,4.75,0,2021-04-27,762,12.0,0.0
וניל על המצח ותות על האף,מאיר שלו, מאיר שלו,0,0,2021.0,0,4.65,0,2021-04-27,762,5.0,0.0
פנדה יוצאת למרעה,מאיר שלו, מאיר שלו,0,0,2021.0,0,5.0,0,2021-04-27,762,12.0,0.0
איתמר פוגש ארנב,דויד גרוסמן, דליה שימקו,0,0,2021.0,0,4.72,0,2021-04-27,762,7.0,0.0
איתמר ציד החלומות,דויד גרוסמן, דליה שימקו,0,0,2021.0,0,4.76,0,2021-04-27,762,9.0,0.0
בבה תותי,דויד גרוסמן, עדי לב,0,0,2021.0,0,4.25,0,2021-04-27,762,5.0,0.0
רותי תישן ותישן,דויד גרוסמן, דליה שימקו,0,0,2021.0,0,4.67,0,2021-04-27,762,5.0,0.0
השפה המיחדת של אורי,דויד גרוסמן, תמר עמית-יוסף,0,0,2021.0,0,3.5,0,2021-04-27,762,8.0,0.0
החברה הסודית של רחלי,דויד גרוסמן, תמר עמית-יוסף,0,0,2021.0,0,4.25,0,2021-05-03,756,7.0,0.0
אריה בלילות,מאיר שלו, איל קיציס,0,0,2021.0,0,4.44,0,2021-05-03,756,9.0,0.0
ככה זה בעברית,דתיה בן דור, דתיה בן דור,0,0,2021.0,0,5.0,0,2021-05-03,756,25.0,0.0
גילגמש הצעיר (2) והמסע לשאול,שירלי גרץ, צביקה גרץ,0,0,2021.0,0,4.33,0,2021-05-03,756,10.0,1.0
גילגמש הצעיר (1) והגן המכושף,שירלי גרץ, צביקה גרץ,0,0,2021.0,0,4.75,0,2021-05-03,756,8.0,1.0
גילגמש הצעיר (3) וחוטף הגורזלים,שירלי גרץ, צביקה גרץ,0,0,2021.0,0,4.75,0,2021-05-23,736,55.0,1.0
הבלגן שלי,טל ניצן, טל ניצן,0,0,2021.0,0,4.5,0,2021-05-03,756,1.0,0.0
שעון הקסמים,סיגלית דיל, סיגלית דיל,0,0,2021.0,0,4.75,0,2021-05-03,756,21.0,0.0
חתול בגשם,עדולה, עדולה,0,0,2021.0,0,5.0,0,2021-05-03,756,17.0,0.0
הממלכה שמתחת לשולחן,חוה חבושי, רותם שפי,0,0,2021.0,0,4.67,0,2021-10-05,601,9.0,0.0
גילגמש הצעיר (4) נלחם בגורל,שירלי גרץ, צביקה גרץ,0,0,2021.0,0,5.0,0,2021-05-23,736,51.0,1.0
ברוך הכיסא והטוסיק הגדול מכולם,רותי ויטל גלעד, רותי ויטל גלעד,0,0,2021.0,0,0.0,0,2021-05-28,731,7.0,0.0
איה פפאיה והחתול הורוד,רותי ויטל גלעד, רותי ויטל גלעד,0,0,2021.0,0,0.0,0,2021-06-28,700,2.0,0.0
אפצ'יקונת,נעמי בן-גור, נוגה אלגום,0,0,2021.0,0,5.0,0,2021-10-05,601,4.0,0.0
פיקניק התה של אילת,נעמי בן-גור, נעמי בן-גור,0,0,2021.0,0,4.0,0,2021-10-05,601,5.0,0.0
הנסיך הקטן,אנטואן דה סנט אכזופרי, אלון אופיר,0,0,2021.0,0,4.75,0,2021-06-19,709,55.0,1.0
העצלן הבטלן,איתמר אורלב, ניר שאולוף,0,0,2021.0,0,5.0,0,2021-05-18,741,9.0,0.0
"הקסם היפה בעולם, או לאן מומו נעלם",איתן דרור פריאר, ירדן אורלובסקי,0,0,2022.0,0,0.0,0,2022-12-14,166,37.0,0.0
עוצמה מעוץ,ל.פרנק באום, גילי בר הלל,0,0,2021.0,0,5.0,0,2021-05-18,741,14.0,4.0
הדרך לעוץ,ל.פרנק באום, גילי בר הלל,0,0,2021.0,0,4.33,0,2021-05-18,741,17.0,4.0
