book_name,author_name,announcer_name,book_type,publishing,publishing_year,genre,stars,language,release_date,days_from_release,recording_minutes,recording_hours
Perry Rhodan 3084: Brigade der Sternenlotsen,Uwe Anton,No announcer,Digital book,Perry Rhodan digital,2020.0,Science fiction and fantasy,0.0,German,2020-09-24,991,0.0,0.0
"The Cheater's Game: Glass and Steele, Book 7",C.J. Archer, Marian Hussey,Aoudio book,C.J. Archer,2020.0,Science fiction and fantasy,4.07,English,2020-10-05,980,24.0,9.0
The World is in Me,Sheeraz Khan,No announcer,Digital book,Leadstart Publishing Pvt Ltd (Frog Books),2015.0,Science fiction and fantasy,0.0,English,2015-08-24,2849,0.0,0.0
The Frontiers Saga. Aurora CV-01,Ryk Brown, Roch Siemianowski,Aoudio book,Storybox,2020.0,Science fiction and fantasy,4.36,Polish,2020-10-25,960,56.0,7.0
E-Fam Exodus (Zusatzkapitel & Leseprobe),Arno Endler,No announcer,Digital book,Polarise,2020.0,Science fiction and fantasy,0.0,German,2020-10-22,963,0.0,0.0
Haus der Hüterin: Das Portal,Andrea Habeney, Marlene Rauch,Aoudio book & Digital book,mainbook Verlag,2020.0,Science fiction and fantasy,4.6,German,2020-10-22,963,8.0,3.0
Hyperversum 5 - Ultimate,Cecilia Randall, Dario Sansalone,Aoudio book,Storyside,2020.0,Science fiction and fantasy,4.36,Italian,2020-12-07,917,7.0,13.0
Ally,K. Eason, Faye Adele,Aoudio book,Tantor Audio,2021.0,Science fiction and fantasy,5.0,English,2021-04-06,797,47.0,10.0
Shadow Witch,Kim Richardson, Devon Sorvari,Aoudio book,Tantor Audio,2021.0,Science fiction and fantasy,3.86,English,2021-02-02,860,46.0,7.0
Midnight Spells,Kim Richardson, Devon Sorvari,Aoudio book,Tantor Audio,2021.0,Science fiction and fantasy,4.12,English,2021-03-16,818,36.0,7.0
The Splintered Crown,Larry N. Martin, Tristan Morris,Aoudio book,Tantor Audio,2021.0,Science fiction and fantasy,0.0,English,2021-03-02,832,57.0,6.0
Mission: Nemesis,Anthony James, Neil Hellegers,Aoudio book,Tantor Audio,2021.0,Science fiction and fantasy,4.25,English,2021-05-18,755,22.0,6.0
Clan Dominance: The Sleepless Ones,Dem Mikhailov, Phil Thron,Aoudio book,Tantor Audio,2021.0,Science fiction and fantasy,4.42,English,2021-02-02,860,39.0,10.0
THE SPEED OF TIME,SHARAD NALAWADE,No announcer,Digital book,Leadstart Publishing Pvt Ltd (Wordizen Books),2014.0,Science fiction and fantasy,0.0,English,2014-08-05,3233,0.0,0.0
Sara & Kumpel: Entführt,Johanna Glembo, Jens Ballerstädt,Aoudio book,Ulisses Spiele,2020.0,Science fiction and fantasy,1.0,German,2020-04-23,1145,4.0,1.0
